frame,total_particles,total_discharged,lot_72,lot_73,lot_74
45,586,0,0,0,0
46,586,0,0,0,0
47,586,0,0,0,0
48,586,0,0,0,0
49,586,0,0,0,0
50,586,0,0,0,0
51,586,0,0,0,0
52,586,0,0,0,0
53,586,0,0,0,0
54,586,0,0,0,0
55,586,0,0,0,0
56,586,0,0,0,0
57,586,0,0,0,0
58,586,0,0,0,0
59,586,0,0,0,0
60,586,0,0,0,0
61,586,0,0,0,0
62,586,0,0,0,0
63,585,1,1,0,0
64,585,1,1,0,0
65,585,1,1,0,0
66,585,1,1,0,0
67,585,1,1,0,0
68,585,1,1,0,0
69,585,1,1,0,0
70,585,1,1,0,0
71,585,1,1,0,0
72,585,1,1,0,0
73,585,1,1,0,0
74,585,1,1,0,0
75,585,1,1,0,0
76,582,4,4,0,0
77,581,5,5,0,0
78,579,7,7,0,0
79,577,9,9,0,0
80,577,9,9,0,0
81,577,9,9,0,0
82,576,10,10,0,0
83,575,11,11,0,0
84,573,13,13,0,0
85,568,18,18,0,0
86,565,21,21,0,0
87,557,29,29,0,0
88,550,36,36,0,0
89,541,45,45,0,0
90,533,53,53,0,0
91,526,60,60,0,0
92,518,68,68,0,0
93,514,72,72,0,0
94,510,76,76,0,0
95,502,84,84,0,0
96,494,92,92,0,0
97,488,98,97,1,0
98,483,103,102,1,0
99,474,112,110,2,0
100,468,118,116,2,0
101,462,124,121,3,0
102,457,129,126,3,0
103,451,135,132,3,0
104,445,141,138,3,0
105,440,146,143,3,0
106,433,153,149,4,0
107,427,159,153,6,0
108,419,167,160,7,0
109,414,172,163,9,0
110,407,179,167,12,0
111,404,182,168,13,1
112,396,190,174,15,1
113,390,196,177,18,1
114,385,201,180,20,1
115,378,208,183,22,3
116,373,213,185,25,3
117,365,221,189,27,5
118,360,226,191,28,7
119,356,230,191,31,8
120,351,235,193,32,10
121,343,243,195,35,13
122,341,245,197,35,13
123,334,252,198,37,17
124,327,259,201,37,21
125,323,263,202,40,21
126,318,268,205,41,22
127,311,275,206,44,25
128,305,281,210,46,25
129,301,285,211,46,28
130,296,290,212,47,31
131,289,297,215,47,35
132,283,303,216,47,40
133,280,306,218,48,40
134,274,312,219,49,44
135,268,318,221,51,46
136,259,327,224,52,51
137,253,333,226,54,53
138,249,337,228,54,55
139,246,340,228,55,57
140,244,342,229,56,57
141,243,343,229,57,57
142,239,347,230,57,60
143,236,350,231,58,61
144,231,355,231,59,65
145,224,362,231,61,70
146,218,368,233,63,72
147,215,371,233,63,75
148,209,377,234,67,76
149,205,381,235,68,78
150,202,384,237,69,78
151,197,389,238,69,82
152,193,393,239,69,85
153,187,399,240,71,88
154,181,405,240,75,90
155,176,410,241,78,91
156,171,415,242,80,93
157,169,417,242,82,93
158,165,421,242,83,96
159,158,428,242,86,100
160,153,433,244,86,103
161,149,437,244,89,104
162,143,443,245,91,107
163,138,448,245,94,109
164,134,452,245,96,111
165,129,457,245,98,114
166,122,464,246,101,117
167,121,465,247,101,117
168,119,467,247,102,118
169,115,471,248,103,120
170,109,477,250,105,122
