simulation_n,seed,candidate_num,objective_score,S1_discharge_fraction,S1_discharge_mass_kg,S2_discharge_fraction,S2_discharge_mass_kg,S3_discharge_fraction,S3_discharge_mass_kg,diastatic_power_WK,fine_extract_db_pct,moisture_pct,total_protein_pct,wort_colour_EBC,wort_pH
1,42,1,0.38788230203901025,0.0,0.0,0.31414,2513.116941,0.81086,6486.883059,329.6545162217207,81.6365348493642,4.320839898203435,10.673988675814606,3.8861791478559518,5.954989138001263
1,42,2,0.3973090956852265,0.411855,3294.840295,0.366247,2929.97543,0.346898,2775.184275,331.45067031374884,81.66637996612845,4.305127286565782,10.599217701024289,3.8724854655221037,5.958614451515105
1,42,3,0.3929415394978357,0.0,0.0,0.165645,1325.158446,0.959355,7674.841554,330.93327409933687,81.59707231728012,4.314291036986233,10.634668894045824,3.8730572304528543,5.957612311733448
1,42,4,0.409687293663841,0.301115,2408.921933,0.331784,2654.275093,0.4921,3936.802974,333.350723551689,81.70240403248374,4.288165648307252,10.519101197972693,3.8582470312773967,5.962446380477664
2,43,1,0.38788488299883844,0.0,0.0,0.317238,2537.901759,0.807762,6462.098241,329.65512832031726,81.63653221799083,4.320835521550677,10.67396612895484,3.8861737700566072,5.954990382336439
2,43,2,0.3950397059186582,0.435629,3485.02994,0.360404,2883.233533,0.328967,2631.736527,331.02500384187715,81.66580469217541,4.3083546342054655,10.615448458895207,3.8760916808313075,5.957750784454756
2,43,3,0.396850949475234,0.009261,74.089151,0.115739,925.910849,1.0,8000.0,331.77616734000435,81.57903882883146,4.30936490636594,10.606922913866985,3.8648511542512836,5.959335836225712
2,43,4,0.39721114085383163,0.117777,942.2147,0.179068,1432.54352,0.828155,6625.241779,331.3466878686299,81.68440256614595,4.304528206666831,10.59902019125234,3.874375459925802,5.958390860344445
3,44,1,0.38713032135345166,0.625569,5004.550419,0.387423,3099.381143,0.112009,896.068438,329.4340092131495,81.64583572353149,4.321778505636169,10.680196913629285,3.8885805383744034,5.954535068680224
3,44,2,0.4079854317458855,0.316406,2531.25,0.372656,2981.25,0.435937,3487.5,333.209622413607,81.67675496914859,4.291180195310498,10.530315625722157,3.858028075947511,5.962177769076825
3,44,3,0.3914267238633188,0.550589,4404.70912,0.263254,2106.031649,0.311157,2489.259231,330.24841770153864,81.67630172470125,4.31336057988578,10.642413775018278,3.8833123376839267,5.956167091358831
3,44,4,0.39035675078071197,0.473819,3790.553479,0.462638,3701.10331,0.188543,1508.343211,330.2028093030423,81.63775055371497,4.316646549453083,10.652973351389365,3.881560421334231,5.956101281854559
4,45,1,0.38712970156485366,0.638012,5104.094193,0.37781,3022.477923,0.109178,873.427883,329.4346568408848,81.6456662953971,4.321786604693283,10.680211247297006,3.8885655904204803,5.954536500967599
4,45,2,0.3984884132182836,0.108665,869.318182,0.364347,2914.772727,0.651989,5215.909091,331.660043091216,81.66764096589651,4.303465138140906,10.591010136096319,3.87076601014625,5.959038584663972
4,45,3,0.4016820477508231,0.37118,2969.438669,0.375156,3001.247401,0.378664,3029.313929,332.22272531977586,81.6673966668504,4.299275706283941,10.569785190855274,3.865943188160271,5.960180951147565
